"install
No.";School Name (Arabic);Latitude†;Longitude†;SEC Meter Serial ;SEC Meter Number ;Voltage Level (220/110V);"Breaker
Capacity (A)";"Approx Length
 (Roof to Elec room)";Haris / Manager Contact;Ready to install (Yes/No);Comment ;location
1;„ Ê”ÿ… √»Ì ⁄»Ìœ… - »‰Ì‰;26.3773443;43.953123;KFM2120660298585;10091788928;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3773443 43.953123
2;À«‰ÊÌ… «·«„«„ «·ÿÕ«ÊÌ »»—Ìœ… - »‰Ì‰ ;26.3784074;43.963361;KFM2020660207744;10041261615;220V/3PH;2000A;-;-;;;https://maps.google.com/maps?q=26.3784074 43.963361
3;«» œ«∆Ì… «·›«—Êﬁ »»—Ìœ…  - »‰Ì‰;26.3145973;43.978819;KFM2020660194245;10041839321;380V/3PH;1000A;-;-;;;https://maps.google.com/maps?q=26.3145973 43.978819
4;„Ã„⁄ «·ﬁÌ—Ê«‰ «· ⁄·Ì„Ì »»—Ìœ… -«·ﬁ”„ «·„ Ê”ÿ- »‰Ì‰;26.3958145;43.932203;KFM2020660204662;10041470203;220V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3958145 43.932203
5;«» œ«∆Ì… ⁄À„«‰ »‰ ⁄›«‰ - »‰Ì‰;26.3643396;43.958131;KFM2020660194788;10041458147;380V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3643396 43.958131
6;«» œ«∆Ì… «·›Ì’·Ì… - »‰Ì‰;26.3507337;43.965037;KFM2020660205336;10041394424;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3507337 43.965037
7;„ Ê”ÿ… ”Ì»ÊÌÂ - »‰Ì‰ ;26.4123689;43.929204;KFM2020660187506;10093142685;380V/3PH;1600;-;-;;;https://maps.google.com/maps?q=26.4123689 43.929204
8;«·„ Ê”ÿ… «·Œ«„”… Ê«·Œ„”Ê‰ - »‰« ;26.3272589;44.014789;SRM2320661033214;10105752709;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3272589 44.014789
9;À«‰ÊÌ… ﬁÌ” »‰ ⁄«’„ —÷Ï «··Â ⁄‰Â - »‰Ì‰ ;26.4122509;43.929471;KFM2020660187503;10093149041;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.4122509 43.929471
10;«·À«‰ÊÌ… «·Œ«„”… Ê«·⁄‘—Ê‰ »»—Ìœ… - „”«—«  - »‰« ;26.3281213;44.02538;KFM2120660265817;10041713114;220V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3281213 44.02538
11;„œ—”… √„ «·„ƒ„‰Ì‰ ’›Ì… »‰  ÕÌÌ ··ÿ›Ê·… «·„»ﬂ—… Ê«·«» œ«∆Ì… »»—Ìœ… - »‰« ;26.3582212;43.995437;KFM2120660301083;10041960204?;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3582212 43.995437
12;«·À«‰ÊÌ… «·”«»⁄… Ê«·⁄‘—Ê‰ »»—Ìœ… - „”«—«  - »‰« ;26.3088757;44.040119;KFM2020660194383;10090557873?;380V/3PH;1000A;-;-;;;https://maps.google.com/maps?q=26.3088757 44.040119
13;«·«» œ«∆Ì… «·À«‰Ì… · Õ›ÌŸ  «·ﬁ—«‰  »»—Ìœ… - »‰« ;26.3414173;43.983019;KFM2020660211765;10042006958?;380V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3414173 43.983019
14;«·À«‰ÊÌ… «·Œ«„”… »»—Ìœ… - »‰« ;26.3731105;43.977384;KFM2020660205316;10041964357?;380V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3731105 43.977384
15;«·«» œ«∆Ì… «·”«œ”…  Ê«·À·«ÀÊ‰ »»—Ìœ… - »‰« ;26.341744;43.982553;KFM2020660194922;10041954781?;380V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.341744 43.982553
16;«·«» œ«∆Ì… «·”«»⁄… · Õ›ÌŸ «·ﬁ—«‰ »»—Ìœ… - »‰« ;26.3129143;43.962908;KFM2120660263561;10099573152?;220V/3PH;800A;-;-;;;https://maps.google.com/maps?q=26.3129143 43.962908
17;«·À«‰ÊÌ… «·À«·À… Ê«·⁄‘—Ê‰ »»—Ìœ… -»‰«  ;26.3872433;43.935161;KFM2020660195009;10041789972?;220V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3872433 43.935161
18;«·„ Ê”ÿ… «·”«œ”… Ê«·√—»⁄Ê‰ »»—Ìœ… - »‰« ;26.3091706;44.039454;KFM2020660194381;10090562499?;380V/3PH;800A;-;-;;;https://maps.google.com/maps?q=26.3091706 44.039454
19;À«‰ÊÌ… ««·„ ‰»Ì »»—Ìœ… - »‰Ì‰ ;26.3899722;43.965727;KFM2120660235942;10041810520;220V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3899722 43.965727
20;«·«» œ«∆Ì… «·—«»⁄… Ê«·«—»⁄Ê‰  »»—Ìœ… - »‰« ;26.3791874;43.971439;KFM2020660205572;10041468205?;380V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3791874 43.971439
21;«·√» œ«∆Ì… «·À«‰Ì… »«·‘ﬁ…- »‰« ;26.3827834;43.861024;KFM2020660211704;10089582784?;380V/3PH;1600A;-;-;;;https://maps.google.com/maps?q=26.3827834 43.861024
22;«·À«‰ÊÌ… «·À«‰Ì… »«·‘ﬁ… - »‰« ;26.3844297;43.865038;KFM2120660246812;10041525231?;220V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3844297 43.865038
23;«·«» œ«∆Ì… «·À·«ÀÊ‰ »»—Ìœ… - »‰« ;26.3382125;43.979649;KFM2020660204801;10041716180?;380V/3PH;400A;-;-;;;https://maps.google.com/maps?q=26.3382125 43.979649
24;À«‰ÊÌ… «·„·Ìœ«¡  »»—Ìœ…  - »‰« ;26.3158246;43.785109;KFM2120660304756;10041931051?;220V/3PH;1250A;-;-;;;https://maps.google.com/maps?q=26.3158246 43.785109
25;«·«» œ«∆Ì… «·À«·À… »»—Ìœ… - »‰« ;26.3144064;44.056231;KFM2120660248042;10041559346?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3144064 44.056231
26;«·„ Ê”ÿ… «·À«‰Ì… Ê«·Œ„”Ê‰ »»—Ìœ… - »‰« ;26.3139887;44.056309;KFM2120660248036;10041559088?;220V/3PH;1250A;;;;;https://maps.google.com/maps?q=26.3139887 44.056309
